,Comuna,Ambientes,Period,Variance
110,6,2,2018 - 4to. trim.,8.09640945386339
111,7,2,2018 - 4to. trim.,8.324430931054318
112,8,2,2018 - 4to. trim.,
113,9,2,2018 - 4to. trim.,3.6721489650763233
114,10,2,2018 - 4to. trim.,13.38251804330394
115,11,2,2018 - 4to. trim.,7.902210198797152
116,12,2,2018 - 4to. trim.,6.087514527929548
117,13,2,2018 - 4to. trim.,4.825883130302238
118,14,2,2018 - 4to. trim.,2.37316756578129
119,15,2,2018 - 4to. trim.,3.690153838043954
120,1,3,2018 - 4to. trim.,7.134018399956959
121,2,3,2018 - 4to. trim.,9.003810560696788
122,3,3,2018 - 4to. trim.,1.5730480193605911
123,4,3,2018 - 4to. trim.,7.59323852964851
124,5,3,2018 - 4to. trim.,11.476974469100455
125,6,3,2018 - 4to. trim.,7.007642563198119
126,7,3,2018 - 4to. trim.,2.9106663412252867
127,8,3,2018 - 4to. trim.,
128,9,3,2018 - 4to. trim.,
129,10,3,2018 - 4to. trim.,13.499897882769417
130,11,3,2018 - 4to. trim.,13.012488577520562
131,12,3,2018 - 4to. trim.,11.510481220024788
132,13,3,2018 - 4to. trim.,4.058624577226606
133,14,3,2018 - 4to. trim.,5.742062889260216
134,15,3,2018 - 4to. trim.,5.380864301328401
135,1,1,2019 - 1er. trim.,4.982012368730733
136,2,1,2019 - 1er. trim.,9.614617395773585
137,3,1,2019 - 1er. trim.,12.769122139667891
138,4,1,2019 - 1er. trim.,
139,5,1,2019 - 1er. trim.,2.7679356756490985
140,6,1,2019 - 1er. trim.,4.96452394145472
141,7,1,2019 - 1er. trim.,8.241519773686345
142,8,1,2019 - 1er. trim.,
143,9,1,2019 - 1er. trim.,
144,10,1,2019 - 1er. trim.,8.453079829711042
145,11,1,2019 - 1er. trim.,2.4336991014405895
146,12,1,2019 - 1er. trim.,4.764391801755058
147,13,1,2019 - 1er. trim.,7.606437269432494
148,14,1,2019 - 1er. trim.,6.896783392181301
149,15,1,2019 - 1er. trim.,8.240158620558152
150,1,2,2019 - 1er. trim.,9.670537856000632
151,2,2,2019 - 1er. trim.,9.5407059623926
152,3,2,2019 - 1er. trim.,8.153189901865025
153,4,2,2019 - 1er. trim.,11.71823900335214
154,5,2,2019 - 1er. trim.,7.418913741849134
155,6,2,2019 - 1er. trim.,7.121240852244519
156,7,2,2019 - 1er. trim.,5.6327447384072515
157,8,2,2019 - 1er. trim.,
158,9,2,2019 - 1er. trim.,5.561352513625595
159,10,2,2019 - 1er. trim.,7.9688133202206375
160,11,2,2019 - 1er. trim.,9.508865958059886
161,12,2,2019 - 1er. trim.,10.230446720188658
162,13,2,2019 - 1er. trim.,9.128503428327624
163,14,2,2019 - 1er. trim.,14.034722198587529
164,15,2,2019 - 1er. trim.,12.446083214137364
165,1,3,2019 - 1er. trim.,6.267471146156843
166,2,3,2019 - 1er. trim.,11.21677091594462
167,3,3,2019 - 1er. trim.,7.123026812914608
168,4,3,2019 - 1er. trim.,1.728880349396253
169,5,3,2019 - 1er. trim.,5.315932917917063
170,6,3,2019 - 1er. trim.,6.249181746111866
171,7,3,2019 - 1er. trim.,6.060199726632778
172,8,3,2019 - 1er. trim.,
173,9,3,2019 - 1er. trim.,
174,10,3,2019 - 1er. trim.,6.938752572149879
175,11,3,2019 - 1er. trim.,-0.4306906338872659
176,12,3,2019 - 1er. trim.,0.7197384809885934
177,13,3,2019 - 1er. trim.,10.600118610390926
178,14,3,2019 - 1er. trim.,12.355108858582485
179,15,3,2019 - 1er. trim.,5.006540174416401
180,1,1,2019 - 2do. trim.*,14.699866525671231
181,2,1,2019 - 2do. trim.*,8.085869720152074
182,3,1,2019 - 2do. trim.*,4.529075975365755
183,4,1,2019 - 2do. trim.*,
184,5,1,2019 - 2do. trim.*,8.96517765136447
185,6,1,2019 - 2do. trim.*,12.333210970176093
186,7,1,2019 - 2do. trim.*,7.96539714638803
187,8,1,2019 - 2do. trim.*,
188,9,1,2019 - 2do. trim.*,
189,10,1,2019 - 2do. trim.*,10.178934282221231
190,11,1,2019 - 2do. trim.*,9.136046017189505
191,12,1,2019 - 2do. trim.*,7.162187160595465
192,13,1,2019 - 2do. trim.*,6.411906373439622
193,14,1,2019 - 2do. trim.*,10.908371135752706
194,15,1,2019 - 2do. trim.*,8.918409641850703
195,1,2,2019 - 2do. trim.*,11.148178302391933
196,2,2,2019 - 2do. trim.*,8.344912242766306
197,3,2,2019 - 2do. trim.*,3.607946809078936
198,4,2,2019 - 2do. trim.*,5.037478677688492
199,5,2,2019 - 2do. trim.*,5.583781752506146
200,6,2,2019 - 2do. trim.*,4.5191537144489855
201,7,2,2019 - 2do. trim.*,7.95904161516571
202,8,2,2019 - 2do. trim.*,
203,9,2,2019 - 2do. trim.*,14.226370786541844
204,10,2,2019 - 2do. trim.*,5.564436016618945
205,11,2,2019 - 2do. trim.*,7.72075793922571
206,12,2,2019 - 2do. trim.*,2.748134873797041
207,13,2,2019 - 2do. trim.*,8.544230085606069
208,14,2,2019 - 2do. trim.*,5.003145851904317
209,15,2,2019 - 2do. trim.*,5.648765548975998
210,1,3,2019 - 2do. trim.*,0.6297361377773886
211,2,3,2019 - 2do. trim.*,3.3000634766314834
212,3,3,2019 - 2do. trim.*,15.712611085636746
213,4,3,2019 - 2do. trim.*,11.205726918905548
214,5,3,2019 - 2do. trim.*,4.570851059920158
215,6,3,2019 - 2do. trim.*,6.696381460787131
216,7,3,2019 - 2do. trim.*,4.3278659322528075
217,8,3,2019 - 2do. trim.*,
218,9,3,2019 - 2do. trim.*,4.1315964801140685
219,10,3,2019 - 2do. trim.*,3.850159499168747
220,11,3,2019 - 2do. trim.*,8.705795334476322
221,12,3,2019 - 2do. trim.*,9.133392174363255
222,13,3,2019 - 2do. trim.*,4.478378409250357
223,14,3,2019 - 2do. trim.*,7.7458625334136695
224,15,3,2019 - 2do. trim.*,5.253068252338247
225,1,1,2019 - 3er. trim.*,6.922239647594668
226,2,1,2019 - 3er. trim.*,5.341036397938258
227,3,1,2019 - 3er. trim.*,10.477674685662794
228,4,1,2019 - 3er. trim.*,
229,5,1,2019 - 3er. trim.*,6.976501017942582
230,6,1,2019 - 3er. trim.*,13.500702721840184
231,7,1,2019 - 3er. trim.*,6.964980544747086
232,8,1,2019 - 3er. trim.*,
233,9,1,2019 - 3er. trim.*,
234,10,1,2019 - 3er. trim.*,-2.8344380554103323
235,11,1,2019 - 3er. trim.*,8.266114256443856
236,12,1,2019 - 3er. trim.*,10.460853963215069
237,13,1,2019 - 3er. trim.*,12.233082336608481
238,14,1,2019 - 3er. trim.*,2.3732666435259735
239,15,1,2019 - 3er. trim.*,9.491552473284507
240,1,2,2019 - 3er. trim.*,9.210981407213266
241,2,2,2019 - 3er. trim.*,5.5985651632627755
242,3,2,2019 - 3er. trim.*,10.831703148210662
243,4,2,2019 - 3er. trim.*,9.282176566627728
244,5,2,2019 - 3er. trim.*,8.015595070366194
245,6,2,2019 - 3er. trim.*,9.712243444705809
246,7,2,2019 - 3er. trim.*,5.501533272897555
247,8,2,2019 - 3er. trim.*,
248,9,2,2019 - 3er. trim.*,6.877292857887987
249,10,2,2019 - 3er. trim.*,8.602862992162558
250,11,2,2019 - 3er. trim.*,7.703109061159036
251,12,2,2019 - 3er. trim.*,8.303732812779648
252,13,2,2019 - 3er. trim.*,5.734244931601403
253,14,2,2019 - 3er. trim.*,8.344981532121615
254,15,2,2019 - 3er. trim.*,7.252482427353953
255,1,3,2019 - 3er. trim.*,5.89617240828266
256,2,3,2019 - 3er. trim.*,8.6076647615176
257,3,3,2019 - 3er. trim.*,-2.1178575398931736
258,4,3,2019 - 3er. trim.*,6.131030764891348
259,5,3,2019 - 3er. trim.*,13.156546813143896
260,6,3,2019 - 3er. trim.*,6.970357259307808
261,7,3,2019 - 3er. trim.*,10.680423193129004
262,8,3,2019 - 3er. trim.*,
263,9,3,2019 - 3er. trim.*,-4.661898835581093
264,10,3,2019 - 3er. trim.*,3.723976487395985
265,11,3,2019 - 3er. trim.*,8.296331811741013
266,12,3,2019 - 3er. trim.*,7.8698330965074765
267,13,3,2019 - 3er. trim.*,10.529075708006255
268,14,3,2019 - 3er. trim.*,5.3626632961215055
269,15,3,2019 - 3er. trim.*,12.197217204113823
270,1,1,2019 - 4to. trim.*,2.628823166524195
271,2,1,2019 - 4to. trim.*,5.989207025585413
272,3,1,2019 - 4to. trim.*,5.847520553951804
273,4,1,2019 - 4to. trim.*,
274,5,1,2019 - 4to. trim.*,5.633009058666141
275,6,1,2019 - 4to. trim.*,5.439968494432031
276,7,1,2019 - 4to. trim.*,7.181594990360783
277,8,1,2019 - 4to. trim.*,
278,9,1,2019 - 4to. trim.*,
279,10,1,2019 - 4to. trim.*,
280,11,1,2019 - 4to. trim.*,3.7255663430420665
281,12,1,2019 - 4to. trim.*,6.843402466125801
282,13,1,2019 - 4to. trim.*,6.073691365480016
283,14,1,2019 - 4to. trim.*,6.2472452470938595
284,15,1,2019 - 4to. trim.*,7.6164812000114726
285,1,2,2019 - 4to. trim.*,0.959258816118097
286,2,2,2019 - 4to. trim.*,9.91488509843261
287,3,2,2019 - 4to. trim.*,6.50214188452059
288,4,2,2019 - 4to. trim.*,8.440924754791567
289,5,2,2019 - 4to. trim.*,7.088573731453632
290,6,2,2019 - 4to. trim.*,9.359523025187553
291,7,2,2019 - 4to. trim.*,7.269799394548892
292,8,2,2019 - 4to. trim.*,
293,9,2,2019 - 4to. trim.*,7.3790298500825395
294,10,2,2019 - 4to. trim.*,6.210750934510158
295,11,2,2019 - 4to. trim.*,4.39521638107719
296,12,2,2019 - 4to. trim.*,7.502378172426456
297,13,2,2019 - 4to. trim.*,5.015627824902961
298,14,2,2019 - 4to. trim.*,5.081897942828865
299,15,2,2019 - 4to. trim.*,6.259703307972569
300,1,3,2019 - 4to. trim.*,7.265776742947412
301,2,3,2019 - 4to. trim.*,3.076115321971214
302,3,3,2019 - 4to. trim.*,9.494908940282324
303,4,3,2019 - 4to. trim.*,3.4348357012594555
304,5,3,2019 - 4to. trim.*,-0.7388861015728234
305,6,3,2019 - 4to. trim.*,6.0698254844755395
306,7,3,2019 - 4to. trim.*,3.732141691496426
307,8,3,2019 - 4to. trim.*,
308,9,3,2019 - 4to. trim.*,
309,10,3,2019 - 4to. trim.*,9.763660533590814
310,11,3,2019 - 4to. trim.*,6.9261170848097
311,12,3,2019 - 4to. trim.*,4.8757998849571855
312,13,3,2019 - 4to. trim.*,5.937324374206037
313,14,3,2019 - 4to. trim.*,5.606596835764831
314,15,3,2019 - 4to. trim.*,2.1066168474834477
315,1,1,2020 - 1er. trim.*,4.604618818500228
316,2,1,2020 - 1er. trim.*,13.181577642579075
317,3,1,2020 - 1er. trim.*,8.976904403968224
318,4,1,2020 - 1er. trim.*,
319,5,1,2020 - 1er. trim.*,4.270588037337155
320,6,1,2020 - 1er. trim.*,11.702516277530073
321,7,1,2020 - 1er. trim.*,7.335163367975822
322,8,1,2020 - 1er. trim.*,
323,9,1,2020 - 1er. trim.*,
324,10,1,2020 - 1er. trim.*,
325,11,1,2020 - 1er. trim.*,10.655335304321273
326,12,1,2020 - 1er. trim.*,6.896022122093147
327,13,1,2020 - 1er. trim.*,8.57493419422952
328,14,1,2020 - 1er. trim.*,11.531951309279572
329,15,1,2020 - 1er. trim.*,11.583670993736272
330,1,2,2020 - 1er. trim.*,1.7143869194301788
331,2,2,2020 - 1er. trim.*,7.373628839873122
332,3,2,2020 - 1er. trim.*,3.698552989540213
333,4,2,2020 - 1er. trim.*,10.737735701913511
334,5,2,2020 - 1er. trim.*,6.965332712835309
335,6,2,2020 - 1er. trim.*,5.447739817752136
336,7,2,2020 - 1er. trim.*,12.32437090223036
337,8,2,2020 - 1er. trim.*,
338,9,2,2020 - 1er. trim.*,10.964289524872578
339,10,2,2020 - 1er. trim.*,10.719889151792907
340,11,2,2020 - 1er. trim.*,9.909327342437306
341,12,2,2020 - 1er. trim.*,6.3937130524520605
342,13,2,2020 - 1er. trim.*,7.54336435092253
343,14,2,2020 - 1er. trim.*,8.152235963046625
344,15,2,2020 - 1er. trim.*,11.042376066894182
345,1,3,2020 - 1er. trim.*,8.103223969595104
346,2,3,2020 - 1er. trim.*,16.77366004520049
347,3,3,2020 - 1er. trim.*,11.025421663339419
348,4,3,2020 - 1er. trim.*,5.6096602774848545
349,5,3,2020 - 1er. trim.*,9.138301379069778
350,6,3,2020 - 1er. trim.*,10.339434089045577
351,7,3,2020 - 1er. trim.*,8.544162742245796
352,8,3,2020 - 1er. trim.*,
353,9,3,2020 - 1er. trim.*,
354,10,3,2020 - 1er. trim.*,1.8369436325792048
355,11,3,2020 - 1er. trim.*,10.309299911427356
356,12,3,2020 - 1er. trim.*,15.141235308058826
357,13,3,2020 - 1er. trim.*,10.747988004760282
358,14,3,2020 - 1er. trim.*,7.914160680001368
359,15,3,2020 - 1er. trim.*,7.532474848700795
360,1,1,2020 - 2do. trim.*,10.589905045599924
361,2,1,2020 - 2do. trim.*,13.731941808207148
362,3,1,2020 - 2do. trim.*,13.025121291559879
363,4,1,2020 - 2do. trim.*,
364,5,1,2020 - 2do. trim.*,13.603321082864648
365,6,1,2020 - 2do. trim.*,3.2338296719862756
366,7,1,2020 - 2do. trim.*,11.748899034679493
367,8,1,2020 - 2do. trim.*,
368,9,1,2020 - 2do. trim.*,
369,10,1,2020 - 2do. trim.*,
370,11,1,2020 - 2do. trim.*,11.498301977285063
371,12,1,2020 - 2do. trim.*,10.539186517810842
372,13,1,2020 - 2do. trim.*,6.746166912570583
373,14,1,2020 - 2do. trim.*,12.274504094548517
374,15,1,2020 - 2do. trim.*,6.166849126149394
375,1,2,2020 - 2do. trim.*,9.475083791220447
376,2,2,2020 - 2do. trim.*,8.347451714285032
377,3,2,2020 - 2do. trim.*,11.195460001024102
378,4,2,2020 - 2do. trim.*,5.978540313444274
379,5,2,2020 - 2do. trim.*,16.215740059053967
380,6,2,2020 - 2do. trim.*,7.288165374541883
381,7,2,2020 - 2do. trim.*,3.1767133639458294
382,8,2,2020 - 2do. trim.*,
383,9,2,2020 - 2do. trim.*,3.690997504964608
384,10,2,2020 - 2do. trim.*,12.19511624019437
385,11,2,2020 - 2do. trim.*,14.491925768888695
386,12,2,2020 - 2do. trim.*,8.981094337478684
387,13,2,2020 - 2do. trim.*,9.642460036926916
388,14,2,2020 - 2do. trim.*,12.912249066636644
389,15,2,2020 - 2do. trim.*,7.966412933045739
390,1,3,2020 - 2do. trim.*,16.554835390779445
391,2,3,2020 - 2do. trim.*,8.09095388596029
392,3,3,2020 - 2do. trim.*,11.47006271172793
393,4,3,2020 - 2do. trim.*,
