,Comuna,Ambientes,Period,Variance
542,3,1,2021 - 2do. trim.*,4.019935492370588
543,4,1,2021 - 2do. trim.*,
544,5,1,2021 - 2do. trim.*,11.251340778019673
545,6,1,2021 - 2do. trim.*,11.620324060175642
546,7,1,2021 - 2do. trim.*,10.723311148786577
547,8,1,2021 - 2do. trim.*,
548,9,1,2021 - 2do. trim.*,
549,10,1,2021 - 2do. trim.*,15.681368274130097
550,11,1,2021 - 2do. trim.*,10.677839517761397
551,12,1,2021 - 2do. trim.*,19.663313368610805
552,13,1,2021 - 2do. trim.*,13.235016405944275
553,14,1,2021 - 2do. trim.*,14.664088975840766
554,15,1,2021 - 2do. trim.*,19.182507746078485
555,1,2,2021 - 2do. trim.*,23.632397300414695
556,2,2,2021 - 2do. trim.*,8.603573131123522
557,3,2,2021 - 2do. trim.*,11.760949049277452
558,4,2,2021 - 2do. trim.*,13.895870736086183
559,5,2,2021 - 2do. trim.*,15.952488934538547
560,6,2,2021 - 2do. trim.*,20.97992492526312
561,7,2,2021 - 2do. trim.*,9.961568783289817
562,8,2,2021 - 2do. trim.*,
563,9,2,2021 - 2do. trim.*,
564,10,2,2021 - 2do. trim.*,10.494947596368638
565,11,2,2021 - 2do. trim.*,12.87716351387128
566,12,2,2021 - 2do. trim.*,20.93421189713047
567,13,2,2021 - 2do. trim.*,18.39531006969048
568,14,2,2021 - 2do. trim.*,13.350202287419968
569,15,2,2021 - 2do. trim.*,14.458596943037952
570,1,3,2021 - 2do. trim.*,22.505268782234307
571,2,3,2021 - 2do. trim.*,9.40173848409143
572,3,3,2021 - 2do. trim.*,9.916867899536399
573,4,3,2021 - 2do. trim.*,
574,5,3,2021 - 2do. trim.*,6.407720803099423
575,6,3,2021 - 2do. trim.*,12.494276564795607
576,7,3,2021 - 2do. trim.*,11.425916443837595
577,8,3,2021 - 2do. trim.*,
578,9,3,2021 - 2do. trim.*,
579,10,3,2021 - 2do. trim.*,
580,11,3,2021 - 2do. trim.*,7.86660939992638
581,12,3,2021 - 2do. trim.*,22.45276595211203
582,13,3,2021 - 2do. trim.*,14.034603570271917
583,14,3,2021 - 2do. trim.*,16.09912770710172
584,15,3,2021 - 2do. trim.*,23.35953343174505
585,1,1,2021 - 3er. trim.*,13.648084617738949
586,2,1,2021 - 3er. trim.*,8.54102768092623
587,3,1,2021 - 3er. trim.*,22.47301666450612
588,4,1,2021 - 3er. trim.*,
589,5,1,2021 - 3er. trim.*,6.003346432062978
590,6,1,2021 - 3er. trim.*,7.784080698883495
591,7,1,2021 - 3er. trim.*,15.66151342578166
592,8,1,2021 - 3er. trim.*,
593,9,1,2021 - 3er. trim.*,
594,10,1,2021 - 3er. trim.*,7.875971116025121
595,11,1,2021 - 3er. trim.*,14.378576230975023
596,12,1,2021 - 3er. trim.*,3.592445885660039
597,13,1,2021 - 3er. trim.*,12.594003598810485
598,14,1,2021 - 3er. trim.*,11.224999272451372
599,15,1,2021 - 3er. trim.*,8.175369775783544
600,1,2,2021 - 3er. trim.*,0.8378562953482357
601,2,2,2021 - 3er. trim.*,16.414485179063625
602,3,2,2021 - 3er. trim.*,13.730113940164895
603,4,2,2021 - 3er. trim.*,13.463284436964537
604,5,2,2021 - 3er. trim.*,12.39396207514817
605,6,2,2021 - 3er. trim.*,7.4164820277076355
606,7,2,2021 - 3er. trim.*,12.733053197711136
607,8,2,2021 - 3er. trim.*,
608,9,2,2021 - 3er. trim.*,
609,10,2,2021 - 3er. trim.*,11.760082827124394
610,11,2,2021 - 3er. trim.*,7.837147881526191
611,12,2,2021 - 3er. trim.*,5.815628480256067
612,13,2,2021 - 3er. trim.*,5.79931340152622
613,14,2,2021 - 3er. trim.*,13.198314862189708
614,15,2,2021 - 3er. trim.*,8.36788335093878
615,1,3,2021 - 3er. trim.*,12.537460321636337
616,2,3,2021 - 3er. trim.*,17.17343957035343
617,3,3,2021 - 3er. trim.*,10.514363027798824
618,4,3,2021 - 3er. trim.*,
619,5,3,2021 - 3er. trim.*,20.001094702703412
620,6,3,2021 - 3er. trim.*,10.793709251620067
621,7,3,2021 - 3er. trim.*,14.001425182501274
622,8,3,2021 - 3er. trim.*,
623,9,3,2021 - 3er. trim.*,
624,10,3,2021 - 3er. trim.*,
625,11,3,2021 - 3er. trim.*,17.35505655564615
626,12,3,2021 - 3er. trim.*,1.8793788254535375
627,13,3,2021 - 3er. trim.*,8.078450842645097
628,14,3,2021 - 3er. trim.*,15.31315914022364
629,15,3,2021 - 3er. trim.*,1.654244406077689
630,1,1,2021 - 4to. trim.*,4.607196038212342
631,2,1,2021 - 4to. trim.*,9.541132887637561
632,3,1,2021 - 4to. trim.*,4.740628586614539
633,4,1,2021 - 4to. trim.*,
634,5,1,2021 - 4to. trim.*,12.746623833658813
635,6,1,2021 - 4to. trim.*,10.784168078029579
636,7,1,2021 - 4to. trim.*,12.486083605345923
637,8,1,2021 - 4to. trim.*,
638,9,1,2021 - 4to. trim.*,
639,10,1,2021 - 4to. trim.*,14.522362921302074
640,11,1,2021 - 4to. trim.*,9.149386671507106
641,12,1,2021 - 4to. trim.*,8.588395384205937
642,13,1,2021 - 4to. trim.*,10.074008184696277
643,14,1,2021 - 4to. trim.*,6.961677784201645
644,15,1,2021 - 4to. trim.*,8.875096231799132
645,1,2,2021 - 4to. trim.*,15.809122286975214
646,2,2,2021 - 4to. trim.*,8.697971474749359
647,3,2,2021 - 4to. trim.*,8.669633425570119
648,4,2,2021 - 4to. trim.*,8.676737239240948
649,5,2,2021 - 4to. trim.*,8.949930164776461
650,6,2,2021 - 4to. trim.*,11.567346952825153
651,7,2,2021 - 4to. trim.*,11.94392932746557
652,8,2,2021 - 4to. trim.*,
653,9,2,2021 - 4to. trim.*,16.34266437020754
654,10,2,2021 - 4to. trim.*,8.537064891637417
655,11,2,2021 - 4to. trim.*,13.18154751374265
656,12,2,2021 - 4to. trim.*,8.652869593690214
657,13,2,2021 - 4to. trim.*,7.865128090982348
658,14,2,2021 - 4to. trim.*,8.633924302122264
659,15,2,2021 - 4to. trim.*,6.42162686899233
660,1,3,2021 - 4to. trim.*,2.1703254279068718
661,2,3,2021 - 4to. trim.*,11.581355349387026
662,3,3,2021 - 4to. trim.*,15.064551757484235
663,4,3,2021 - 4to. trim.*,7.287981729986146
664,5,3,2021 - 4to. trim.*,7.315846612116005
665,6,3,2021 - 4to. trim.*,12.070182405189255
666,7,3,2021 - 4to. trim.*,14.303708536942192
667,8,3,2021 - 4to. trim.*,
668,9,3,2021 - 4to. trim.*,
669,10,3,2021 - 4to. trim.*,9.574100748858646
670,11,3,2021 - 4to. trim.*,15.289293909052995
671,12,3,2021 - 4to. trim.*,15.50192851799766
672,13,3,2021 - 4to. trim.*,10.66357676662106
673,14,3,2021 - 4to. trim.*,10.86802432791258
674,15,3,2021 - 4to. trim.*,13.65501339841455
675,1,1,2022 - 1er. trim.*,20.49417330150845
676,2,1,2022 - 1er. trim.*,18.498826045402907
677,3,1,2022 - 1er. trim.*,19.056833540888302
678,4,1,2022 - 1er. trim.*,
679,5,1,2022 - 1er. trim.*,20.44215253298259
680,6,1,2022 - 1er. trim.*,13.56608191539253
681,7,1,2022 - 1er. trim.*,9.28524128214161
682,8,1,2022 - 1er. trim.*,
683,9,1,2022 - 1er. trim.*,
684,10,1,2022 - 1er. trim.*,4.939016474855696
685,11,1,2022 - 1er. trim.*,11.970522247498634
686,12,1,2022 - 1er. trim.*,15.926009581442285
687,13,1,2022 - 1er. trim.*,16.77022689819673
688,14,1,2022 - 1er. trim.*,15.104148932067949
689,15,1,2022 - 1er. trim.*,16.77642068179237
690,1,2,2022 - 1er. trim.*,13.024072904180036
691,2,2,2022 - 1er. trim.*,15.786125002658164
692,3,2,2022 - 1er. trim.*,19.39997768110551
693,4,2,2022 - 1er. trim.*,12.737530168586813
694,5,2,2022 - 1er. trim.*,21.246657008045812
695,6,2,2022 - 1er. trim.*,10.942517959569404
696,7,2,2022 - 1er. trim.*,14.672654337223204
697,8,2,2022 - 1er. trim.*,
698,9,2,2022 - 1er. trim.*,7.141396132817963
699,10,2,2022 - 1er. trim.*,10.853119364532672
700,11,2,2022 - 1er. trim.*,13.194762371501294
701,12,2,2022 - 1er. trim.*,9.120169444882672
702,13,2,2022 - 1er. trim.*,15.219552549479257
703,14,2,2022 - 1er. trim.*,26.93977299713555
704,15,2,2022 - 1er. trim.*,15.707930410411294
705,1,3,2022 - 1er. trim.*,26.919300818274817
706,2,3,2022 - 1er. trim.*,21.956012329958924
707,3,3,2022 - 1er. trim.*,17.212196842673432
708,4,3,2022 - 1er. trim.*,
709,5,3,2022 - 1er. trim.*,12.940922026269666
710,6,3,2022 - 1er. trim.*,16.22772246548732
711,7,3,2022 - 1er. trim.*,5.898186964778382
712,8,3,2022 - 1er. trim.*,
713,9,3,2022 - 1er. trim.*,
714,10,3,2022 - 1er. trim.*,15.115954284666103
715,11,3,2022 - 1er. trim.*,6.444515368265553
716,12,3,2022 - 1er. trim.*,8.959690378714738
717,13,3,2022 - 1er. trim.*,13.548482489274875
718,14,3,2022 - 1er. trim.*,15.500438001725097
719,15,3,2022 - 1er. trim.*,18.742030265585885
720,1,1,2022 - 2do. trim.*,14.977515835533156
721,2,1,2022 - 2do. trim.*,19.902896938363206
722,3,1,2022 - 2do. trim.*,17.49084617551202
723,4,1,2022 - 2do. trim.*,
724,5,1,2022 - 2do. trim.*,5.743052847986633
725,6,1,2022 - 2do. trim.*,22.46513753521872
726,7,1,2022 - 2do. trim.*,35.411005434782616
727,8,1,2022 - 2do. trim.*,
728,9,1,2022 - 2do. trim.*,
729,10,1,2022 - 2do. trim.*,10.193208067101418
730,11,1,2022 - 2do. trim.*,15.341855889134376
731,12,1,2022 - 2do. trim.*,17.214921575007537
732,13,1,2022 - 2do. trim.*,26.876997405460767
733,14,1,2022 - 2do. trim.*,27.957781767200302
734,15,1,2022 - 2do. trim.*,20.590432130672998
735,1,2,2022 - 2do. trim.*,24.0841800568697
736,2,2,2022 - 2do. trim.*,37.007390749265014
737,3,2,2022 - 2do. trim.*,19.17594175537159
738,4,2,2022 - 2do. trim.*,19.694156536245526
739,5,2,2022 - 2do. trim.*,10.425187585084325
740,6,2,2022 - 2do. trim.*,21.18467221798934
741,7,2,2022 - 2do. trim.*,14.00524671364794
742,8,2,2022 - 2do. trim.*,
743,9,2,2022 - 2do. trim.*,
744,10,2,2022 - 2do. trim.*,20.602615183227364
745,11,2,2022 - 2do. trim.*,22.769590081471506
746,12,2,2022 - 2do. trim.*,28.038192317680892
747,13,2,2022 - 2do. trim.*,23.142868883690653
748,14,2,2022 - 2do. trim.*,22.17816435314434
749,15,2,2022 - 2do. trim.*,27.09334720407968
750,1,3,2022 - 2do. trim.*,12.34113620807665
751,2,3,2022 - 2do. trim.*,17.763849052682207
752,3,3,2022 - 2do. trim.*,12.6937206483866
753,4,3,2022 - 2do. trim.*,
754,5,3,2022 - 2do. trim.*,21.574010020680586
755,6,3,2022 - 2do. trim.*,13.48273459133337
756,7,3,2022 - 2do. trim.*,27.252664197717476
757,8,3,2022 - 2do. trim.*,
758,9,3,2022 - 2do. trim.*,
759,10,3,2022 - 2do. trim.*,
760,11,3,2022 - 2do. trim.*,17.539157849599576
761,12,3,2022 - 2do. trim.*,12.596509646074486
762,13,3,2022 - 2do. trim.*,23.062031807034362
763,14,3,2022 - 2do. trim.*,10.415139449502227
764,15,3,2022 - 2do. trim.*,25.433924262983147
765,1,1,2022 - 3er. trim.*,29.940575097682657
766,2,1,2022 - 3er. trim.*,24.373383125310298
767,3,1,2022 - 3er. trim.*,37.385979255839295
768,4,1,2022 - 3er. trim.*,
769,5,1,2022 - 3er. trim.*,28.524047751396292
770,6,1,2022 - 3er. trim.*,16.13777867041576
771,7,1,2022 - 3er. trim.*,4.828737322592631
772,8,1,2022 - 3er. trim.*,
773,9,1,2022 - 3er. trim.*,
774,10,1,2022 - 3er. trim.*,
775,11,1,2022 - 3er. trim.*,32.03325420224373
776,12,1,2022 - 3er. trim.*,21.406310224925264
777,13,1,2022 - 3er. trim.*,13.03188809658837
778,14,1,2022 - 3er. trim.*,17.091258737297654
779,15,1,2022 - 3er. trim.*,25.700960041143272
780,1,2,2022 - 3er. trim.*,13.59539611082751
781,2,2,2022 - 3er. trim.*,18.852981144895544
782,3,2,2022 - 3er. trim.*,20.429701160707157
783,4,2,2022 - 3er. trim.*,13.650189114044537
784,5,2,2022 - 3er. trim.*,28.93661207430622
785,6,2,2022 - 3er. trim.*,20.51309018148845
786,7,2,2022 - 3er. trim.*,21.288233517470168
787,8,2,2022 - 3er. trim.*,
788,9,2,2022 - 3er. trim.*,
789,10,2,2022 - 3er. trim.*,18.09414863224263
790,11,2,2022 - 3er. trim.*,20.35078541572822
791,12,2,2022 - 3er. trim.*,16.029982273197138
792,13,2,2022 - 3er. trim.*,27.23337418790379
793,14,2,2022 - 3er. trim.*,19.901540583128018
794,15,2,2022 - 3er. trim.*,21.10722022346002
795,1,3,2022 - 3er. trim.*,22.412404759720967
796,2,3,2022 - 3er. trim.*,18.56623268569174
797,3,3,2022 - 3er. trim.*,21.268586155115578
798,4,3,2022 - 3er. trim.*,
799,5,3,2022 - 3er. trim.*,16.300949909385547
800,6,3,2022 - 3er. trim.*,14.923130874826704
801,7,3,2022 - 3er. trim.*,17.741908344677597
802,8,3,2022 - 3er. trim.*,
803,9,3,2022 - 3er. trim.*,
804,10,3,2022 - 3er. trim.*,
805,11,3,2022 - 3er. trim.*,19.43832912744702
806,12,3,2022 - 3er. trim.*,25.128364005768937
807,13,3,2022 - 3er. trim.*,13.79369836011314
808,14,3,2022 - 3er. trim.*,22.119419136817527
809,15,3,2022 - 3er. trim.*,8.436209876866078
810,1,1,2022 - 4to. trim.*,17.345254551431204
811,2,1,2022 - 4to. trim.*,25.381427314652683
812,3,1,2022 - 4to. trim.*,17.488831089351283
813,4,1,2022 - 4to. trim.*,
814,5,1,2022 - 4to. trim.*,23.738837977270748
815,6,1,2022 - 4to. trim.*,22.775375969570057
816,7,1,2022 - 4to. trim.*,25.990568654646324
817,8,1,2022 - 4to. trim.*,
818,9,1,2022 - 4to. trim.*,
819,10,1,2022 - 4to. trim.*,
820,11,1,2022 - 4to. trim.*,17.86031363202599
821,12,1,2022 - 4to. trim.*,21.382011297886784
822,13,1,2022 - 4to. trim.*,22.771513607385216
823,14,1,2022 - 4to. trim.*,22.985230328893756
824,15,1,2022 - 4to. trim.*,14.92366032767817
825,1,2,2022 - 4to. trim.*,19.98879653385022
826,2,2,2022 - 4to. trim.*,14.887920861922016
827,3,2,2022 - 4to. trim.*,15.275088905497508
828,4,2,2022 - 4to. trim.*,22.115144445635732
829,5,2,2022 - 4to. trim.*,13.776573607419229
830,6,2,2022 - 4to. trim.*,16.34337259484871
831,7,2,2022 - 4to. trim.*,25.183098277218864
832,8,2,2022 - 4to. trim.*,
833,9,2,2022 - 4to. trim.*,24.085102023392814
834,10,2,2022 - 4to. trim.*,21.935935824282495
835,11,2,2022 - 4to. trim.*,13.478247189394121
836,12,2,2022 - 4to. trim.*,18.8644762000288
837,13,2,2022 - 4to. trim.*,12.611321048977375
838,14,2,2022 - 4to. trim.*,11.086109480108504
839,15,2,2022 - 4to. trim.*,18.714817732115165
840,1,3,2022 - 4to. trim.*,4.9291155306061265
841,2,3,2022 - 4to. trim.*,17.523071488863977
842,3,3,2022 - 4to. trim.*,20.683903818953336
843,4,3,2022 - 4to. trim.*,
844,5,3,2022 - 4to. trim.*,18.439904831668834
845,6,3,2022 - 4to. trim.*,15.220476086169061
846,7,3,2022 - 4to. trim.*,11.92024303720192
847,8,3,2022 - 4to. trim.*,
848,9,3,2022 - 4to. trim.*,
849,10,3,2022 - 4to. trim.*,16.84062754371086
850,11,3,2022 - 4to. trim.*,8.33393175857128
851,12,3,2022 - 4to. trim.*,28.405391466680584
852,13,3,2022 - 4to. trim.*,24.018129030858063
853,14,3,2022 - 4to. trim.*,16.08814958275914
854,15,3,2022 - 4to. trim.*,33.9190285628486
855,1,1,2023 - 1er. trim.*,30.92622845255021
856,2,1,2023 - 1er. trim.*,25.523245158531378
857,3,1,2023 - 1er. trim.*,
858,4,1,2023 - 1er. trim.*,
859,5,1,2023 - 1er. trim.*,
860,6,1,2023 - 1er. trim.*,21.948587536314772
861,7,1,2023 - 1er. trim.*,
862,8,1,2023 - 1er. trim.*,
863,9,1,2023 - 1er. trim.*,
864,10,1,2023 - 1er. trim.*,
865,11,1,2023 - 1er. trim.*,22.86537436492567
866,12,1,2023 - 1er. trim.*,33.096782794731475
867,13,1,2023 - 1er. trim.*,
868,14,1,2023 - 1er. trim.*,28.944303505535053
869,15,1,2023 - 1er. trim.*,26.204204635213923
870,1,2,2023 - 1er. trim.*,22.660282541550842
871,2,2,2023 - 1er. trim.*,
872,3,2,2023 - 1er. trim.*,22.068380008952353
873,4,2,2023 - 1er. trim.*,
874,5,2,2023 - 1er. trim.*,22.26439302733177
875,6,2,2023 - 1er. trim.*,28.02471755052367
876,7,2,2023 - 1er. trim.*,8.908138624415214
877,8,2,2023 - 1er. trim.*,
878,9,2,2023 - 1er. trim.*,
879,10,2,2023 - 1er. trim.*,21.680644678457437
880,11,2,2023 - 1er. trim.*,34.41004281316597
881,12,2,2023 - 1er. trim.*,23.14850792762989
882,13,2,2023 - 1er. trim.*,27.745394205338425
883,14,2,2023 - 1er. trim.*,32.42358994542427
884,15,2,2023 - 1er. trim.*,19.38990916494471
885,1,3,2023 - 1er. trim.*,44.21177826483863
886,2,3,2023 - 1er. trim.*,40.10103607030679
887,3,3,2023 - 1er. trim.*,25.213698044662884
888,4,3,2023 - 1er. trim.*,
889,5,3,2023 - 1er. trim.*,27.12096014513824
890,6,3,2023 - 1er. trim.*,31.457998501936885
891,7,3,2023 - 1er. trim.*,39.817153800024954
892,8,3,2023 - 1er. trim.*,
893,9,3,2023 - 1er. trim.*,
894,10,3,2023 - 1er. trim.*,
895,11,3,2023 - 1er. trim.*,43.69475679916317
896,12,3,2023 - 1er. trim.*,26.1181159709924
897,13,3,2023 - 1er. trim.*,12.868549668438186
898,14,3,2023 - 1er. trim.*,39.136720516138865
899,15,3,2023 - 1er. trim.*,20.478488147919137
